Date,Open,High,Low,Close,Volume
2021-01-04,100.0000,100.1534,99.7155,99.7832,1094520
2021-01-05,99.7832,99.8470,98.4352,98.7646,1127244
2021-01-06,98.7646,100.1660,98.6476,100.0912,1055597
2021-01-07,100.0912,100.3480,98.0492,98.1983,1149645
2021-01-08,98.1983,98.7121,96.0549,96.3120,1140456
2021-01-11,96.3120,96.7660,96.1615,96.7527,1192670
2021-01-12,96.7527,97.3141,96.5608,97.1992,1515259
2021-01-13,97.1992,98.2904,97.0183,97.9387,1221854
2021-01-14,97.9387,97.9700,97.4379,97.6230,1074528
2021-01-15,97.6230,97.9033,97.0360,97.1878,1366276
2021-01-18,97.1878,97.2592,96.2135,96.3367,1446922
2021-01-19,96.3367,96.8577,95.7546,96.4796,1096478
2021-01-20,96.4796,96.7161,96.2996,96.4435,1018683
2021-01-21,96.4435,96.6831,94.6581,94.8486,1283752
2021-01-22,94.8486,96.6944,94.8147,96.5894,1389750
2021-01-25,96.5894,97.5717,96.4582,97.3930,1379436
2021-01-26,97.3930,97.5482,95.9828,96.3554,1609537
2021-01-27,96.3554,96.4245,94.3594,94.7698,1173549
2021-01-28,94.7698,95.4857,92.6175,92.7169,1220878
2021-01-29,92.7169,92.9888,91.2591,91.5618,1047175
2021-02-01,91.5618,92.0347,91.1239,91.9149,1185708
2021-02-02,91.9149,92.7241,91.4824,92.5720,1384520
2021-02-03,92.5720,93.8723,92.0238,93.7234,1190104
2021-02-04,93.7234,95.2757,93.6717,94.7608,1305858
2021-02-05,94.7608,95.2185,93.2109,93.3655,1045041
2021-02-08,93.3655,93.9974,93.3317,93.8145,1343698
2021-02-09,93.8145,93.9313,92.8654,93.1565,1008039
2021-02-10,93.1565,93.4211,91.8549,92.2605,1133447
2021-02-11,92.2605,92.2978,90.7863,90.8269,1089399
2021-02-12,90.8269,92.7390,90.4834,92.4542,1380496
2021-02-15,92.4542,92.6293,91.3572,91.6676,1257700
2021-02-16,91.6676,92.1703,91.6256,92.1310,1172584
2021-02-17,92.1310,92.2077,91.8611,92.0192,1000251
2021-02-18,92.0192,93.1081,91.4641,92.9503,1097482
2021-02-19,92.9503,93.0542,92.5542,92.5578,1277135
2021-02-22,92.5578,92.6650,91.7592,92.2678,1769403
2021-02-23,92.2678,92.3353,91.0048,91.1137,1071571
2021-02-24,91.1137,91.2928,90.6483,90.7251,1156615
2021-02-25,90.7251,93.5934,90.5743,93.4938,1029834
2021-02-26,93.4938,93.5114,92.5612,93.3250,1146069
2021-03-01,93.3250,94.8778,93.3063,94.5464,1286051
2021-03-02,94.5464,96.0365,94.0638,95.6088,1106012
2021-03-03,95.6088,95.7876,94.9920,95.3041,1804848
2021-03-04,95.3041,97.0640,95.1088,96.6443,1447641
2021-03-05,96.6443,97.2831,96.6010,96.9357,1057330
2021-03-08,96.9357,97.9970,96.9099,97.9555,1459976
2021-03-09,97.9555,99.3725,97.1487,99.2850,1344051
2021-03-10,99.2850,100.5512,99.2456,100.4711,1211501
2021-03-11,100.4711,101.0233,100.0107,100.8301,1452853
2021-03-12,100.8301,101.9621,100.5195,101.6683,1441041
2021-03-15,101.6683,103.5495,101.2191,103.3181,1281321
2021-03-16,103.3181,103.7661,103.0807,103.4124,1476826
2021-03-17,103.4124,103.8965,102.1021,102.4057,1053350
2021-03-18,102.4057,102.8378,100.0720,100.1009,1180848
2021-03-19,100.1009,100.7964,99.6510,100.6726,1306042
2021-03-22,100.6726,102.6023,100.2340,102.1465,1054187
2021-03-23,102.1465,102.4587,101.2947,101.3297,1037256
2021-03-24,101.3297,103.2508,100.6316,103.1692,1116157
2021-03-25,103.1692,103.4226,100.8942,100.9902,1183362
2021-03-26,100.9902,101.3220,100.9663,101.0695,1397956
2021-03-29,101.0695,101.4016,100.6173,101.0861,1482967
2021-03-30,101.0861,101.3530,99.7999,100.3648,1325004
2021-03-31,100.3648,100.6866,97.7541,98.1167,1003829
2021-04-01,98.1167,98.1251,97.8049,97.9788,1070098
2021-04-02,97.9788,100.2111,97.8227,100.1978,1300155
2021-04-05,100.1978,100.5765,99.8834,100.0501,1322078
2021-04-06,100.0501,100.2295,97.8846,98.1813,1237820
2021-04-07,98.1813,98.5161,98.1324,98.2787,1353674
2021-04-08,98.2787,98.4671,96.2711,96.5383,1169663
2021-04-09,96.5383,96.7616,95.1454,95.5846,1035182
2021-04-12,95.5846,95.6890,93.6581,94.3260,1098334
2021-04-13,94.3260,94.8756,93.4831,93.6868,1082652
2021-04-14,93.6868,93.9327,91.2154,91.2951,1137574
2021-04-15,91.2951,92.4434,91.1126,92.2366,1097987
2021-04-16,92.2366,93.9947,92.1117,93.8090,1625193
2021-04-19,93.8090,95.2819,93.7255,94.9091,1140852
2021-04-20,94.9091,97.7452,94.7756,97.2323,1727114
2021-04-21,97.2323,97.4335,95.6980,96.2426,1036063
2021-04-22,96.2426,97.2428,95.9811,96.9802,1026728
2021-04-23,96.9802,97.6503,96.9701,97.4091,1058602
